STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;WDMV
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.05.1964;58
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.05.1964;214
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.05.1964;137
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.05.1964;89
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.05.1964;158
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.05.1964;159
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.05.1964;43
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.05.1964;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.05.1964;39
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.05.1964;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.05.1964;71
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.05.1964;153
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;31.05.1964;50
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.06.1964;68
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.06.1964;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.06.1964;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.06.1964;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.06.1964;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.06.1964;39
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.06.1964;77
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.06.1964;121
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.06.1964;274
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.06.1964;319
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.06.1964;23
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.06.1964;14
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.06.1964;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.06.1964;198
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.06.1964;180
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.06.1964;61
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.06.1964;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.06.1964;50
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.06.1964;58
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.06.1964;72
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.06.1964;64
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.06.1964;95
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.06.1964;103
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.06.1964;69
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.06.1964;45
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.06.1964;58
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.06.1964;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.06.1964;85
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.06.1964;74
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.06.1964;87
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.07.1964;138
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.07.1964;121
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.07.1964;63
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.07.1964;93
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.07.1964;87
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.07.1964;97
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.07.1964;98
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.07.1964;103
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.07.1964;101
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.07.1964;109
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.07.1964;138
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.07.1964;163
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.07.1964;171
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.07.1964;127
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.07.1964;163
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.07.1964;166
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.07.1964;122
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.07.1964;90
