"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-18","28.9"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-19","30.1"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-20","29.6"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-21","28.7"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-22","28.1"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-23","28.7"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-24","28.9"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-25","28.5"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-26","28.5"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-27","29.2"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-28","29.0"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-29","28.3"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-30","27.4"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-31","27.4"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-01","29.0"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-02","29.5"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-03","29.6"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-04","30.0"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-05","29.6"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-06","29.2"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-07","29.9"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-08","29.3"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-09","30.4"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-10","30.4"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-11","30.3"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-12","30.5"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-13","30.3"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-14","30.3"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-15","29.7"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-16","30.7"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-17","30.2"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-18","30.5"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-19","30.8"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-20","30.7"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-21","30.7"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-22","30.2"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-23","30.3"
"USR0000TMAT","MATAGORDA ISLAND TEXAS, TX US","28.1228","-96.8022","11.0","2005-08-24","30.7"
